Source,Target,Cost,Url
BER,CGN,501,https://www.kayak.pl/flights/BER-CGN/2023-04-04?sort=bestflight_a
BER,DUS,458,https://www.kayak.pl/flights/BER-DUS/2023-04-04?sort=bestflight_a
BER,FRA,741,https://www.kayak.pl/flights/BER-FRA/2023-04-04?sort=bestflight_a
BER,MUC,732,https://www.kayak.pl/flights/BER-MUC/2023-04-04?sort=bestflight_a
BER,SCN,1077,https://www.kayak.pl/flights/BER-SCN/2023-04-04?sort=bestflight_a
BER,STR,638,https://www.kayak.pl/flights/BER-STR/2023-04-04?sort=bestflight_a
BRE,FRA,755,https://www.kayak.pl/flights/BRE-FRA/2023-04-04?sort=bestflight_a
BRE,MUC,868,https://www.kayak.pl/flights/BRE-MUC/2023-04-04?sort=bestflight_a
BRE,STR,900,https://www.kayak.pl/flights/BRE-STR/2023-04-04?sort=bestflight_a
CGN,BER,422,https://www.kayak.pl/flights/CGN-BER/2023-04-04?sort=bestflight_a
CGN,HAM,424,https://www.kayak.pl/flights/CGN-HAM/2023-04-04?sort=bestflight_a
CGN,MUC,631,https://www.kayak.pl/flights/CGN-MUC/2023-04-04?sort=bestflight_a
CGN,STR,754,https://www.kayak.pl/flights/CGN-STR/2023-04-04?sort=bestflight_a
DTM,MUC,325,https://www.kayak.pl/flights/DTM-MUC/2023-04-04?sort=bestflight_a
DTM,GWT,1747,https://www.kayak.pl/flights/DTM-GWT/2023-04-04?sort=bestflight_a
DRS,DUS,558,https://www.kayak.pl/flights/DRS-DUS/2023-04-04?sort=bestflight_a
DRS,FRA,570,https://www.kayak.pl/flights/DRS-FRA/2023-04-04?sort=bestflight_a
DRS,MUC,514,https://www.kayak.pl/flights/DRS-MUC/2023-04-04?sort=bestflight_a
DUS,DRS,471,https://www.kayak.pl/flights/DUS-DRS/2023-04-04?sort=bestflight_a
DUS,FRA,620,https://www.kayak.pl/flights/DUS-FRA/2023-04-04?sort=bestflight_a
DUS,HAM,573,https://www.kayak.pl/flights/DUS-HAM/2023-04-04?sort=bestflight_a
DUS,MUC,535,https://www.kayak.pl/flights/DUS-MUC/2023-04-04?sort=bestflight_a
DUS,GWT,424,https://www.kayak.pl/flights/DUS-GWT/2023-04-04?sort=bestflight_a
FRA,BER,755,https://www.kayak.pl/flights/FRA-BER/2023-04-04?sort=bestflight_a
FRA,BRE,771,https://www.kayak.pl/flights/FRA-BRE/2023-04-04?sort=bestflight_a
FRA,DRS,573,https://www.kayak.pl/flights/FRA-DRS/2023-04-04?sort=bestflight_a
FRA,DUS,601,https://www.kayak.pl/flights/FRA-DUS/2023-04-04?sort=bestflight_a
FRA,FDH,615,https://www.kayak.pl/flights/FRA-FDH/2023-04-04?sort=bestflight_a
FRA,HAM,630,https://www.kayak.pl/flights/FRA-HAM/2023-04-04?sort=bestflight_a
FRA,HAJ,774,https://www.kayak.pl/flights/FRA-HAJ/2023-04-04?sort=bestflight_a
FRA,HDF,1000,https://www.kayak.pl/flights/FRA-HDF/2023-04-04?sort=bestflight_a
FRA,LEJ,573,https://www.kayak.pl/flights/FRA-LEJ/2023-04-04?sort=bestflight_a
FRA,MUC,912,https://www.kayak.pl/flights/FRA-MUC/2023-04-04?sort=bestflight_a
FRA,FMO,609,https://www.kayak.pl/flights/FRA-FMO/2023-04-04?sort=bestflight_a
FRA,NUE,601,https://www.kayak.pl/flights/FRA-NUE/2023-04-04?sort=bestflight_a
FRA,STR,712,https://www.kayak.pl/flights/FRA-STR/2023-04-04?sort=bestflight_a
FRA,GWT,1006,https://www.kayak.pl/flights/FRA-GWT/2023-04-04?sort=bestflight_a
FDH,FRA,600,https://www.kayak.pl/flights/FDH-FRA/2023-04-04?sort=bestflight_a
HAM,CGN,471,https://www.kayak.pl/flights/HAM-CGN/2023-04-04?sort=bestflight_a
HAM,DUS,380,https://www.kayak.pl/flights/HAM-DUS/2023-04-04?sort=bestflight_a
HAM,FRA,767,https://www.kayak.pl/flights/HAM-FRA/2023-04-04?sort=bestflight_a
HAM,MHG,1790,https://www.kayak.pl/flights/HAM-MHG/2023-04-04?sort=bestflight_a
HAM,MUC,489,https://www.kayak.pl/flights/HAM-MUC/2023-04-04?sort=bestflight_a
HAM,SCN,854,https://www.kayak.pl/flights/HAM-SCN/2023-04-04?sort=bestflight_a
HAM,STR,707,https://www.kayak.pl/flights/HAM-STR/2023-04-04?sort=bestflight_a
HAM,GWT,1304,https://www.kayak.pl/flights/HAM-GWT/2023-04-04?sort=bestflight_a
LBC,MUC,795,https://www.kayak.pl/flights/LBC-MUC/2023-04-04?sort=bestflight_a
LBC,STR,1124,https://www.kayak.pl/flights/LBC-STR/2023-04-04?sort=bestflight_a
HAJ,FRA,739,https://www.kayak.pl/flights/HAJ-FRA/2023-04-04?sort=bestflight_a
HAJ,MUC,657,https://www.kayak.pl/flights/HAJ-MUC/2023-04-04?sort=bestflight_a
HDF,FRA,1625,https://www.kayak.pl/flights/HDF-FRA/2023-04-04?sort=bestflight_a
HDF,MHG,1269,https://www.kayak.pl/flights/HDF-MHG/2023-04-04?sort=bestflight_a
LEJ,FRA,570,https://www.kayak.pl/flights/LEJ-FRA/2023-04-04?sort=bestflight_a
LEJ,MUC,795,https://www.kayak.pl/flights/LEJ-MUC/2023-04-04?sort=bestflight_a
MHG,HAM,922,https://www.kayak.pl/flights/MHG-HAM/2023-04-04?sort=bestflight_a
MHG,HDF,1224,https://www.kayak.pl/flights/MHG-HDF/2023-04-04?sort=bestflight_a
MHG,GWT,1527,https://www.kayak.pl/flights/MHG-GWT/2023-04-04?sort=bestflight_a
MUC,BER,611,https://www.kayak.pl/flights/MUC-BER/2023-04-04?sort=bestflight_a
MUC,BRE,646,https://www.kayak.pl/flights/MUC-BRE/2023-04-04?sort=bestflight_a
MUC,CGN,377,https://www.kayak.pl/flights/MUC-CGN/2023-04-04?sort=bestflight_a
MUC,DTM,283,https://www.kayak.pl/flights/MUC-DTM/2023-04-04?sort=bestflight_a
MUC,DRS,844,https://www.kayak.pl/flights/MUC-DRS/2023-04-04?sort=bestflight_a
MUC,DUS,433,https://www.kayak.pl/flights/MUC-DUS/2023-04-04?sort=bestflight_a
MUC,FRA,646,https://www.kayak.pl/flights/MUC-FRA/2023-04-04?sort=bestflight_a
MUC,HAM,488,https://www.kayak.pl/flights/MUC-HAM/2023-04-04?sort=bestflight_a
MUC,LBC,811,https://www.kayak.pl/flights/MUC-LBC/2023-04-04?sort=bestflight_a
MUC,LEJ,788,https://www.kayak.pl/flights/MUC-LEJ/2023-04-04?sort=bestflight_a
MUC,FMO,540,https://www.kayak.pl/flights/MUC-FMO/2023-04-04?sort=bestflight_a
MUC,PAD,620,https://www.kayak.pl/flights/MUC-PAD/2023-04-04?sort=bestflight_a
MUC,STR,790,https://www.kayak.pl/flights/MUC-STR/2023-04-04?sort=bestflight_a
MUC,GWT,853,https://www.kayak.pl/flights/MUC-GWT/2023-04-04?sort=bestflight_a
FMO,FRA,593,https://www.kayak.pl/flights/FMO-FRA/2023-04-04?sort=bestflight_a
